phase,iter,timesteps_total,episodes_total,episode_reward_mean,episode_reward_min,episode_reward_max,policy_reward_mean/p_top,policy_reward_mean/p_bottom,policy_reward_mean/a,social_welfare_coin_eq_times_prod
PHASE 1,0,800,0,,,,,,,53.07142857142891
PHASE 1,1,1600,1,91.29832430640592,91.29832430640592,91.29832430640592,55.50000000000143,33.33333333333519,0.30812387163473165,15.75000000000051
PHASE 1,2,2400,2,30.292374491379938,-30.713575323646044,91.29832430640592,45.750000000002046,23.06666666666839,-4.8155365219107145,16.000000000000444
PHASE 1,3,3200,3,41.08100426877346,-30.713575323646044,91.29832430640592,40.388888888891394,35.344444444445735,-4.331541133069948,11.000000000000526
PHASE 1,4,4000,4,64.32078041966427,-30.713575323646044,134.0401088723367,40.416666666669,46.38333333333442,-2.8099024475417935,0.0
PHASE 1,5,4800,4,64.32078041966427,-30.713575323646044,134.0401088723367,40.416666666669,46.38333333333442,-2.8099024475417935,88.21428571428584
PHASE 1,6,5600,5,128.18077404406458,-30.713575323646044,383.62074854166593,57.06666666666872,61.166666666667595,1.2434300888421113,80.39285714285738
PHASE 1,7,6400,6,159.29067235381603,-30.713575323646044,383.62074854166593,60.33333333333527,66.72222222222325,4.029389599783851,60.46428571428599
PHASE 1,8,7200,7,217.42066644699273,-30.713575323646044,566.2006310060526,71.66666666666865,75.04761904762005,8.83829759158969,12.000000000000375
PHASE 1,9,8000,8,233.4459383542095,-30.713575323646044,566.2006310060526,75.83333333333546,75.71666666666762,10.236992294277602,0.0
PHASE 1,10,8800,8,233.4459383542095,-30.713575323646044,566.2006310060526,75.83333333333547,75.71666666666763,10.236992294277602,64.82142857142891
PHASE 1,11,9600,9,245.22168600147558,-30.713575323646044,566.2006310060526,81.44444444444648,74.17407407407507,11.200395935370938,57.85714285714321
PHASE 1,12,10400,10,238.29573222276613,-30.713575323646044,566.2006310060526,81.50000000000209,71.00666666666766,10.723633194513761,55.357142857143145
PHASE 1,13,11200,11,254.36917215847126,-30.713575323646044,566.2006310060526,90.66666666666869,70.58787878787977,11.639328337992243,7.000000000000527
PHASE 1,14,12000,12,270.62070487980805,-30.713575323646044,566.2006310060526,89.9722222222242,78.48333333333429,12.770643665533234,0.0
PHASE 1,15,12800,12,270.62070487980805,-30.713575323646044,566.2006310060526,89.9722222222242,78.4833333333343,12.770643665533235,91.21428571428608
PHASE 1,16,13600,13,279.11469285448715,-30.713575323646044,566.2006310060526,92.12820512820721,77.37692307692404,13.701195581171614,78.964285714286
PHASE 1,17,14400,14,285.4558471766491,-30.713575323646044,566.2006310060526,90.98809523809732,80.37380952381045,14.261742801844933,55.07142857142888
PHASE 1,18,15200,15,290.6033172517989,-30.713575323646044,566.2006310060526,92.65555555555757,80.2155555555565,14.7165257675879,36.71428571428598
PHASE 1,19,16000,16,321.7398019946644,-30.713575323646044,788.787073137647,100.68750000000193,86.92083333333429,16.76643358266779,0.0
PHASE 1,20,16800,16,321.7398019946644,-30.713575323646044,788.787073137647,100.68750000000193,86.92083333333429,16.76643358266779,76.2142857142861
PHASE 1,21,17600,17,330.1636489107878,-30.713575323646044,788.787073137647,107.235294117649,84.83725490196173,17.26138748639893,85.7500000000003
PHASE 1,22,18400,18,341.6612930733643,-30.713575323646044,788.787073137647,103.4907407407427,92.19814814814907,18.24655052306087,103.17857142857163
PHASE 1,23,19200,19,357.46359923860155,-30.713575323646044,788.787073137647,108.0087719298265,94.13508771929918,19.414967448685818,29.321428571428942
PHASE 1,24,20000,20,367.43200275493945,-30.713575323646044,788.787073137647,104.61666666666864,101.64500000000092,20.146292011035094,0.0
PHASE 1,25,20800,20,367.4320027549395,-30.713575323646044,788.787073137647,104.6166666666686,101.64500000000092,20.146292011035094,134.71428571428598
PHASE 1,26,21600,21,388.1664671021221,-30.713575323646044,802.8557540457751,105.01587301587494,110.03492063492153,21.63945918141694,98.78571428571455
PHASE 1,27,22400,22,403.6700578302951,-30.713575323646044,802.8557540457751,107.82575757575947,113.8742424242433,22.746257228787567,36.28571428571473
PHASE 1,28,23200,23,413.8416801180602,-30.713575323646044,802.8557540457751,111.94927536232069,114.18405797101538,23.46354334809148,16.21428571428621
PHASE 1,29,24000,24,419.7726914539012,-30.713575323646044,802.8557540457751,113.74305555555743,112.85972222222311,24.146239209515954,0.0
PHASE 1,30,24800,24,419.7726914539012,-30.713575323646044,802.8557540457751,113.74305555555743,112.85972222222313,24.146239209515954,174.9285714285717
PHASE 1,31,25600,25,436.7589987586738,-30.713575323646044,844.4303740732145,117.54666666666851,114.80533333333423,25.550874844834524,75.39285714285747
PHASE 1,32,26400,26,439.6230937856111,-30.713575323646044,844.4303740732145,118.83333333333518,114.32820512820604,25.807694415509427,76.82142857142885
PHASE 1,33,27200,27,439.37306142893283,-30.713575323646044,844.4303740732145,116.90123456790309,114.88395061728487,25.948484530468907,45.642857142857416
PHASE 1,34,28000,28,448.07249633225314,-30.713575323646044,844.4303740732145,115.99404761904948,119.5250000000009,26.569181089151016,0.0
PHASE 1,35,28800,28,448.0724963322531,-30.713575323646044,844.4303740732145,115.99404761904948,119.52500000000092,26.569181089151016,109.82142857142888
PHASE 1,36,29600,29,450.32646028935096,-30.713575323646044,844.4303740732145,116.48850574712831,119.28965517241468,26.818537421226655,75.17857142857177
PHASE 1,37,30400,30,454.76029029004013,-30.713575323646044,844.4303740732145,115.81111111111298,121.01888888888978,27.24128628625527,50.357142857143245
PHASE 1,38,31200,31,450.94931867593186,-30.713575323646044,844.4303740732145,114.23655913978686,119.57956989247401,27.14164870545954,23.071428571428957
PHASE 1,39,32000,32,461.706269622418,-30.713575323646044,844.4303740732145,119.4062500000019,119.63958333333427,27.832554536135795,0.0
PHASE 1,40,32800,32,461.70626962241795,-30.713575323646044,844.4303740732145,119.4062500000019,119.63958333333426,27.832554536135795,122.50000000000027
PHASE 1,41,33600,33,465.7274115734009,-30.713575323646044,844.4303740732145,121.38888888889075,118.82727272727368,28.18890624465506,92.35714285714313
PHASE 1,42,34400,34,473.40410877752765,-30.713575323646044,844.4303740732145,125.19117647059011,118.9382352941186,28.65933712660283,62.67857142857166
PHASE 1,43,35200,35,479.8564728923583,-30.713575323646044,844.4303740732145,128.09047619047806,118.40666666666763,29.169916254401937,35.39285714285748
PHASE 1,44,36000,36,491.7338073047151,-30.713575323646044,907.4405117372028,134.02314814814997,118.08981481481578,29.95260554271887,0.0
PHASE 1,45,36800,36,491.733807304715,-30.713575323646044,907.4405117372028,134.02314814814997,118.08981481481578,29.95260554271887,127.92857142857163
PHASE 1,46,37600,37,495.86967581564426,-30.713575323646044,907.4405117372028,133.97747747747928,120.01981981982075,30.23404731479319,127.57142857142878
PHASE 1,47,38400,38,501.8286570218188,-30.713575323646044,907.4405117372028,136.4078947368439,120.0008771929834,30.677485636498993,79.25000000000028
PHASE 1,48,39200,39,513.692787763184,-30.713575323646044,964.5297559350659,139.87606837607012,122.64957264957357,31.395893342192476,36.07142857142892
PHASE 1,49,40000,40,520.7855800775984,-30.713575323646044,964.5297559350659,139.60833333333508,126.03333333333426,31.892989176366,0.0
PHASE 2,0,800,0,,,,,,,137.3030133928573
PHASE 2,1,1600,1,638.6725314540497,638.6725314540497,638.6725314540497,227.67598958333414,124.63565625000058,35.79511070258752,109.05156082589309
PHASE 2,2,2400,2,585.4463978464295,532.2202642388092,638.6725314540497,157.24609179687596,166.1055104166671,32.76184945410916,66.02079743303591
PHASE 2,3,3200,3,568.5644967261817,532.2202642388092,638.6725314540497,177.55958561198022,140.54665837673662,31.30728159218245,16.233423549107467
PHASE 2,4,4000,4,565.0915931029679,532.2202642388092,638.6725314540497,175.60987019856861,139.35486184895888,31.26585763192945,0.0
PHASE 2,5,4800,4,565.0915931029679,532.2202642388092,638.6725314540497,175.60987019856861,139.35486184895888,31.26585763192945,127.82328285435284
PHASE 2,6,5600,5,571.6259928552184,532.2202642388092,638.6725314540497,165.97019902343845,149.44349364583383,32.02653752324245,79.08341196986635
PHASE 2,7,6400,6,563.1746327268273,520.9178320848717,638.6725314540497,152.0334359266503,157.55574991319494,31.698180860872327,51.06729352678592
PHASE 2,8,7200,7,567.8233683343782,520.9178320848717,638.6725314540497,151.70230333891473,158.25324322916717,32.23347772078664,20.117578125000293
PHASE 2,9,8000,8,555.2752827570429,467.43868371569556,638.6725314540497,151.19819750976666,150.3373951171881,31.71746126626077,0.0
