phase,iter,timesteps_total,episodes_total,episode_reward_mean,episode_reward_min,episode_reward_max,policy_reward_mean/p_top,policy_reward_mean/p_bottom,policy_reward_mean/a,social_welfare_coin_eq_times_prod
PHASE 2,10,8800,8,575.5550629961195,363.2025192202317,866.3297310512054,161.70569417317793,127.78011718750082,35.75865645442957,143.4232812500001
PHASE 2,11,9600,9,586.2143454986252,363.2025192202317,866.3297310512054,162.3986147280101,132.77089771412116,36.38060413206108,63.045342320033775
PHASE 2,12,10400,10,554.3352332076694,267.42322258906665,866.3297310512054,152.45930696614676,126.60155973307376,34.4092958135557,68.40183035714311
PHASE 2,13,11200,11,551.451760610079,267.42322258906665,866.3297310512054,152.6850577059668,125.1056082800671,34.20763682800536,21.45200892857181
PHASE 2,14,12000,12,572.23632425121,267.42322258906665,866.3297310512054,159.4914982096363,129.7498631456171,35.37437036199405,0.0
PHASE 2,15,12800,12,572.2363242512099,267.42322258906665,866.3297310512054,159.49149820963626,129.7498631456171,35.37437036199405,130.98747767857157
PHASE 2,16,13600,13,571.0294366688141,267.42322258906665,866.3297310512054,160.8646281550489,129.01502191005687,35.143723325462695,72.9924169921877
PHASE 2,17,14400,14,561.3811332337885,267.42322258906665,866.3297310512054,158.01743303571513,127.02923909505286,34.54180763787687,60.61540178571448
PHASE 2,18,15200,15,569.1276396578172,267.42322258906665,866.3297310512054,157.7108229166675,129.8770537109383,35.1924703787757,23.41287946428602
PHASE 2,19,16000,16,572.3304360740085,267.42322258906665,866.3297310512054,158.3921354166675,131.82227691650468,35.26450296760369,0.0
PHASE 2,20,16800,16,572.3304360740085,267.42322258906665,866.3297310512054,158.3921354166675,131.82227691650468,35.26450296760369,134.27959821428593
PHASE 2,21,17600,17,578.1141530505284,267.42322258906665,866.3297310512054,159.41118566176553,132.8646889361221,35.72978480657912,88.71375697544661
PHASE 2,22,18400,18,574.0189231170181,267.42322258906665,866.3297310512054,159.56128761574155,131.59141122323572,35.35827803475425,49.14428571428598
PHASE 2,23,19200,19,559.9158206334192,267.42322258906665,866.3297310512054,156.83380722313677,127.56688309518992,34.43939128938588,31.55309151785741
PHASE 2,24,20000,20,559.6654819688989,267.42322258906665,866.3297310512054,157.17408040364666,127.15079414876382,34.41757592706023,0.0
PHASE 2,25,20800,20,559.6654819688989,267.42322258906665,866.3297310512054,157.17408040364666,127.15079414876382,34.41757592706023,137.90225725446447
PHASE 2,26,21600,21,562.3945118071181,267.42322258906665,866.3297310512054,159.66764477926668,125.81903014167987,34.6134796107705,97.34593191964302
PHASE 2,27,22400,22,566.8328110015008,267.42322258906665,866.3297310512054,158.6435946377849,129.84264726118687,34.79332113781511,55.17627511160741
PHASE 2,28,23200,23,564.5641998260921,267.42322258906665,866.3297310512054,159.12477779664934,128.12093113111493,34.66481136229006,22.25419642857173
PHASE 2,29,24000,24,558.4323048311292,267.42322258906665,866.3297310512054,157.4133612738723,126.7796336534296,34.27991373797757,0.0
PHASE 2,30,24800,24,558.4323048311292,267.42322258906665,866.3297310512054,157.4133612738723,126.7796336534296,34.27991373797758,191.27106026785722
PHASE 2,31,25600,25,569.6167838340887,267.42322258906665,866.3297310512054,160.5319403645841,129.92871914062576,34.89451554110889,99.49034598214304
PHASE 2,32,26400,26,570.6786937597927,267.42322258906665,866.3297310512054,161.98688576722833,129.28299917367866,34.92610110235975,94.32547433035721
PHASE 2,33,27200,27,566.3140676690406,267.42322258906665,866.3297310512054,161.02962794174456,128.6293097752708,34.581891244002286,13.43244977678619
PHASE 2,34,28000,28,559.3779264053851,267.42322258906665,866.3297310512054,159.17195149739658,127.40450814383446,34.10018334551849,0.0
PHASE 2,35,28800,28,559.3779264053852,267.42322258906665,866.3297310512054,159.17195149739658,127.40450814383446,34.10018334551849,153.84093750000014
PHASE 2,36,29600,29,563.9821296339429,267.42322258906665,866.3297310512054,161.08964641702661,127.98344213025399,34.36363013583187,93.05251116071454
PHASE 2,37,30400,30,572.3331990826025,267.42322258906665,866.3297310512054,161.8894516059035,131.66868503146776,34.846882805652925,69.91051199776801
PHASE 2,38,31200,31,576.8289700651528,267.42322258906665,866.3297310512054,161.17715872815936,134.46909203314084,35.147839912980565,17.06727678571466
PHASE 2,39,32000,32,577.7405205616251,267.42322258906665,866.3297310512054,162.65078755696686,133.56598726908442,35.19046821694562,0.0
PHASE 2,40,32800,32,577.7405205616251,267.42322258906665,866.3297310512054,162.65078755696686,133.56598726908442,35.19046821694562,114.21567313058054
PHASE 2,41,33600,33,576.9159472504343,267.42322258906665,866.3297310512054,163.44824337121284,132.38254510436468,35.13564484685601,100.6001785714287
PHASE 2,42,34400,34,575.6694107125064,267.42322258906665,866.3297310512054,164.058970588236,131.6171240473736,34.999164509611,67.77477608816986
PHASE 2,43,35200,35,574.4724017931351,267.42322258906665,866.3297310512054,163.38200688244117,130.98410800316296,35.013285863440316,42.06947126116093
PHASE 2,44,36000,36,575.5773367366121,267.42322258906665,866.3297310512054,164.13906394675996,130.66436136881583,35.09673892762845,0.0
PHASE 2,45,36800,36,575.5773367366121,267.42322258906665,866.3297310512054,164.13906394675996,130.66436136881586,35.09673892762846,86.83624302455378
PHASE 2,46,37600,37,570.5309675874853,267.42322258906665,866.3297310512054,163.73934895833403,128.81469570400554,34.74711536564224,86.05799107142872
PHASE 2,47,38400,38,566.8082775464611,267.42322258906665,866.3297310512054,161.86899328399195,128.7750285473212,34.52053196439257,44.77778459821449
PHASE 2,48,39200,39,565.5010459269508,267.42322258906665,866.3297310512054,160.1633632979441,130.1250384990993,34.40158051623759,26.7904464285717
PHASE 2,49,40000,40,567.7381516557267,267.42322258906665,866.3297310512054,159.25846150716217,132.26830706787186,34.526422885085736,0.0
PHASE 2,50,40800,40,567.7381516557267,267.42322258906665,866.3297310512054,159.25846150716217,132.26830706787183,34.526422885085736,86.64249651227694
PHASE 2,51,41600,41,562.909593351541,267.42322258906665,866.3297310512054,158.0083948647111,131.23582533425508,34.208171644071065,70.99904017857169
PHASE 2,52,42400,42,563.1753472151074,267.42322258906665,866.3297310512054,158.52522871713862,130.9763562786776,34.2092202774106,50.732103794643116
PHASE 2,53,43200,43,560.5559305805823,267.42322258906665,866.3297310512054,158.19216501635245,130.39530184487114,33.996057964919096,12.222343750000334
PHASE 2,54,44000,44,562.3941957598462,267.42322258906665,866.3297310512054,158.27692405007173,131.20267424612408,34.11432468295551,0.0
PHASE 2,55,44800,44,562.3941957598462,267.42322258906665,866.3297310512054,158.2769240500717,131.20267424612408,34.11432468295551,81.37532226562527
PHASE 2,56,45600,45,558.4046470287143,267.42322258906665,866.3297310512054,157.57530504919052,129.84110787398802,33.873529263191244,79.00850446428588
PHASE 2,57,46400,46,557.4778668710859,267.42322258906665,866.3297310512054,157.42523274739654,129.6032231692999,33.806176369298,64.91865652901814
PHASE 2,58,47200,47,559.2614254127186,267.42322258906665,866.3297310512054,158.62509343140584,129.6366153625063,33.87496457735011,34.23067801339312
PHASE 2,59,48000,48,560.3413321845715,267.42322258906665,866.3297310512054,159.39712354872032,129.18757346259295,33.96957939665658,0.0
PHASE 2,60,48800,48,560.3413321845715,267.42322258906665,866.3297310512054,159.39712354872032,129.18757346259295,33.96957939665658,139.5384577287948
PHASE 2,61,49600,49,562.3383872521114,267.42322258906665,866.3297310512054,158.94012084130597,130.61538340043126,34.09786037629602,105.20454799107158
PHASE 2,62,50400,50,564.4124840836898,267.42322258906665,866.3297310512054,159.34385279947986,131.2481783365893,34.227556618451786,40.569481026785965
PHASE 2,63,51200,51,561.7299717307109,267.42322258906665,866.3297310512054,159.22608117596067,129.88416636348623,34.077465523907236,40.01516183035735
PHASE 2,64,52000,52,564.4031232583847,267.42322258906665,866.3297310512054,160.49553454276912,130.23663481883588,34.208869237096636,0.0
PHASE 2,65,52800,52,564.4031232583847,267.42322258906665,866.3297310512054,160.4955345427691,130.23663481883585,34.208869237096636,93.44633370535742
PHASE 2,66,53600,53,563.9191342067246,267.42322258906665,866.3297310512054,160.2739383721508,130.00152535684526,34.20545880971528,97.17158482142877
PHASE 2,67,54400,54,565.5036859034118,267.42322258906665,866.3297310512054,160.21616771556782,130.67437326690373,34.32664311511677,80.9356654575895
PHASE 2,68,55200,55,569.3355753458796,267.42322258906665,866.3297310512054,160.699671223959,131.93285625296002,34.587880983619236,31.149711216518135
PHASE 2,69,56000,56,575.455096907918,267.42322258906665,912.028782820032,162.05972011021277,133.42578143891907,34.99619941984738,0.0
PHASE 2,70,56800,56,575.455096907918,267.42322258906665,912.028782820032,162.05972011021274,133.42578143891907,34.99619941984738,108.14931361607161
PHASE 2,71,57600,57,573.0430339415632,267.42322258906665,912.028782820032,161.23838456003358,133.1419683873591,34.83283512427048,83.36098807198684
PHASE 2,72,58400,58,571.5897714143183,267.42322258906665,912.028782820032,161.31162002738935,132.2438339759571,34.7542896763707,77.48777901785728
PHASE 2,73,59200,59,574.0247062782282,267.42322258906665,912.028782820032,161.5286088122359,133.5314861543307,34.87057641395685,22.201082589285946
PHASE 2,74,60000,60,572.6918042530101,267.42322258906665,912.028782820032,161.08195144314305,133.4161836073141,34.7742086503183,0.0
PHASE 2,75,60800,60,572.6918042530102,267.42322258906665,912.028782820032,161.08195144314305,133.4161836073141,34.7742086503183,131.82425223214295
PHASE 2,76,61600,61,574.5012303798362,267.42322258906665,912.028782820032,161.8008156698265,133.71766714961223,34.87284344504886,95.30148925781265
PHASE 2,77,62400,62,573.4654519351217,267.42322258906665,912.028782820032,161.58868799353226,133.45773417811313,34.802378720433744,70.27149832589309
PHASE 2,78,63200,63,574.3491784305877,267.42322258906665,912.028782820032,161.55371398602912,133.75155651920127,34.88048849066883,32.73713727678587
PHASE 2,79,64000,64,571.0983577700806,267.42322258906665,912.028782820032,161.57580357869534,132.4647483444221,34.63222573086959,0.0
PHASE 2,80,64800,64,571.0983577700807,267.42322258906665,912.028782820032,161.57580357869534,132.4647483444221,34.63222573086959,165.43767089843766
PHASE 2,81,65600,65,574.0277203902921,267.42322258906665,912.028782820032,161.95586763822183,133.5576961263028,34.81426957822008,70.85888950892877
PHASE 2,82,66400,66,571.0640419357904,267.42322258906665,912.028782820032,160.82183756510486,133.08001480873259,34.64527369524329,58.240811941964466
PHASE 2,83,67200,67,567.4159687588723,267.42322258906665,912.028782820032,159.68603880014064,132.45341166482118,34.409564786738024,24.234182477678885
PHASE 2,84,68000,68,571.480696915406,267.42322258906665,912.028782820032,160.60493762446455,133.6599538646032,34.65197567829144,0.0
PHASE 2,85,68800,68,571.4806969154062,267.42322258906665,912.028782820032,160.60493762446455,133.6599538646032,34.65197567829144,98.20347098214305
PHASE 2,86,69600,69,570.7172918006273,267.42322258906665,912.028782820032,160.4362145701245,133.3932980567829,34.61097239671413,99.74753801618316
PHASE 2,87,70400,70,570.9144389886595,267.42322258906665,912.028782820032,160.55373539806618,133.4728841262098,34.61097743304712,63.07820312500022
PHASE 2,88,71200,71,570.5027239349694,267.42322258906665,912.028782820032,160.42247680091032,133.16321395659185,34.61462914718257,23.84638392857175
PHASE 2,89,72000,72,570.7769711615942,267.42322258906665,912.028782820032,161.08354121455508,132.5617688553429,34.64145763646118,0.0
PHASE 2,90,72800,72,570.7769711615942,267.42322258906665,912.028782820032,161.08354121455508,132.56176885534288,34.64145763646118,132.53953473772336
PHASE 2,91,73600,73,570.4381356188209,267.42322258906665,912.028782820032,160.86586784746072,132.67782562116582,34.61180526877341,108.4592745535716
PHASE 2,92,74400,74,572.1612688377442,267.42322258906665,912.028782820032,161.04416904208966,133.34956038191584,34.720942426716434,75.183041294643
PHASE 2,93,75200,75,573.272796095461,267.42322258906665,912.028782820032,161.02817039930625,133.88879124349026,34.79447930658212,32.22539760044667
PHASE 2,94,76000,76,573.6849371537164,267.42322258906665,912.028782820032,161.44497036047218,133.66620435212857,34.8217203051385,0.0
PHASE 2,95,76800,76,573.6849371537164,267.42322258906665,912.028782820032,161.44497036047215,133.6662043521286,34.8217203051385,140.89623046875013
PHASE 2,96,77600,77,575.6718523208255,267.42322258906665,912.028782820032,161.4690926001089,134.9470856267763,34.90695926174156,123.83611607142873
PHASE 2,97,78400,78,579.3832566974932,267.42322258906665,912.028782820032,162.50370693109042,135.92298236553557,35.11957092510737,47.258415178571674
PHASE 2,98,79200,79,579.513601871245,267.42322258906665,912.028782820032,162.64766053533822,135.83508530500137,35.12885700386217,44.9596651785716
PHASE 2,99,80000,80,579.5911609358928,267.42322258906665,912.028782820032,161.96249641927153,136.5776695251472,35.13137437393323,0.0
PHASE 2,100,80800,80,579.591160935893,267.42322258906665,912.028782820032,161.9624964192715,136.5776695251472,35.13137437393323,176.92254464285722
PHASE 2,101,81600,81,582.2988270738767,267.42322258906665,912.028782820032,162.35065232767556,137.71760313183262,35.278821451794975,108.58698102678589
PHASE 2,102,82400,82,582.2293985675125,267.42322258906665,912.028782820032,162.3047716590454,137.71772700115986,35.27586248841228,34.61906250000028
PHASE 2,103,83200,83,579.2383518571494,267.42322258906665,912.028782820032,161.92007498745048,136.8469342310656,35.05891782982808,26.81772042410743
PHASE 2,104,84000,84,580.0761779408463,267.42322258906665,912.028782820032,162.64044704861178,136.56570731995666,35.10875294653364,0.0
PHASE 2,105,84800,84,580.0761779408464,267.42322258906665,912.028782820032,162.64044704861175,136.56570731995666,35.10875294653364,96.45434151785733
PHASE 2,106,85600,85,578.4792558777117,267.42322258906665,912.028782820032,161.98750367647125,136.3340188514866,35.01971666871817,92.97152343750024
PHASE 2,107,86400,86,578.0904482095278,267.42322258906665,912.028782820032,161.60061470445802,136.5375631453647,34.994033794962114,104.51989955357152
PHASE 2,108,87200,87,580.1814747430269,267.42322258906665,912.028782820032,161.93350874042213,137.11605140423023,35.14148932479575,32.62779017857169
PHASE 2,109,88000,88,580.3279778061387,267.42322258906665,912.028782820032,161.99583688447038,137.3443355028564,35.12347567735039,0.0
PHASE 2,110,88800,88,580.3279778061387,267.42322258906665,912.028782820032,161.99583688447038,137.3443355028564,35.12347567735039,143.66248883928586
PHASE 2,111,89600,89,582.1474741070931,267.42322258906665,912.028782820032,162.33302375936398,138.03037732070825,35.223009128376496,114.09180803571448
PHASE 2,112,90400,90,582.2789006121741,267.42322258906665,912.028782820032,162.3387390046303,137.6391688458485,35.28762409521076,65.01283046177478
PHASE 2,113,91200,91,583.6664310660846,267.42322258906665,912.028782820032,162.5442950685389,138.32465989333005,35.34968451302579,32.7683705357145
PHASE 2,114,92000,92,582.9523389971883,267.42322258906665,912.028782820032,162.6134880795693,138.13555410191705,35.275412101961614,0.0
PHASE 2,115,92800,92,582.9523389971883,267.42322258906665,912.028782820032,162.6134880795693,138.13555410191705,35.275412101961614,90.69079241071452
PHASE 2,116,93600,93,581.458581787777,267.42322258906665,912.028782820032,162.09080608409008,137.73958152196815,35.203524272713736,67.59948747907387
PHASE 2,117,94400,94,579.6812060456981,267.42322258906665,912.028782820032,161.9935579253941,137.11103646352854,35.07207645709585,66.1744105747771
PHASE 2,118,95200,95,581.2735265849971,267.42322258906665,912.028782820032,162.31462580523646,137.42115487082035,35.192218238616434,30.5363169642859
PHASE 2,119,96000,96,579.520682065894,267.42322258906665,912.028782820032,162.0203839619961,136.9699324459507,35.06629570724232,0.0
PHASE 2,120,96800,96,579.520682065894,267.42322258906665,912.028782820032,162.0203839619961,136.9699324459507,35.06629570724232,110.0963462611609
PHASE 2,121,97600,97,578.1952483463027,267.42322258906665,912.028782820032,161.69566693178223,136.6066857197038,34.986611961851025,132.26147879464298
PHASE 2,122,98400,98,580.8347915595879,267.42322258906665,912.028782820032,162.4955325753355,137.2504833569177,35.13609695341572,65.73769252232161
PHASE 2,123,99200,99,578.7080756540304,267.42322258906665,912.028782820032,162.05042526502066,136.5915396066795,35.00826384779022,24.566965680803875
PHASE 2,124,100000,100,577.0272998527796,267.42322258906665,912.028782820032,161.79210877278712,136.00006236165436,34.904391089791226,0.0
PHASE 3A,0,800,0,,,,,,,10.340790983745356
PHASE 3A,1,1600,1,-166.5385315854722,-166.5385315854722,-166.5385315854722,7.744090537344136,0.0,-21.785327765351806,12.732643153327146
PHASE 3A,2,2400,2,-149.7330585948735,-166.5385315854722,-132.92758560427484,11.920088963486286,0.058071255690071766,-20.213902351755923,21.98170368303599
PHASE 3A,3,3200,3,-125.27926202321875,-166.5385315854722,-76.37166887990922,14.349013790497255,11.251680885955764,-18.85999458745874,23.23997767857161
PHASE 3A,4,4000,4,-139.3385180502468,-181.5162861313309,-76.37166887990922,10.761760342872941,9.329527074091153,-19.928725683401147,0.0
PHASE 3A,5,4800,4,-139.3385180502468,-181.5162861313309,-76.37166887990922,10.761760342872941,9.329527074091153,-19.928725683401147,4.8660526820593955
PHASE 3A,6,5600,5,-144.25738581648267,-181.5162861313309,-76.37166887990922,10.176989361538375,8.161041329683172,-20.324427063462814,26.36776122828916
PHASE 3A,7,6400,6,-133.47571686814882,-181.5162861313309,-76.37166887990922,11.532828019114044,8.906177535169038,-19.239340302803804,28.24021152169388
PHASE 3A,8,7200,7,-139.08328013233736,-181.5162861313309,-76.37166887990922,10.373728406181442,7.633866458716317,-19.636359374654198,14.801796875000308
PHASE 3A,9,8000,8,-146.3758230255615,-197.42362327813024,-76.37166887990922,9.315170388016844,7.248658238098007,-20.367456456459337,0.0
PHASE 3A,10,8800,8,-146.3758230255615,-197.42362327813024,-76.37166887990922,9.315170388016844,7.248658238098008,-20.367456456459337,21.827425467355205
PHASE 3A,11,9600,9,-135.1334541543153,-197.42362327813024,-45.19450318434592,11.59927089232148,8.11905942959705,-19.356473059529,17.80540875244157
PHASE 3A,12,10400,10,-136.87180216869368,-197.42362327813024,-45.19450318434592,10.869476583737278,7.834945954441325,-19.447028088358827,27.811098214285995
PHASE 3A,13,11200,11,-130.27499749902734,-197.42362327813024,-45.19450318434592,10.86609336705281,9.403527125310307,-18.818077248923615,32.7866741071431
PHASE 3A,14,12000,12,-128.22019591110686,-197.42362327813024,-45.19450318434592,11.000623468952211,9.458092214975677,-18.584863949379145,0.0
PHASE 3A,15,12800,12,-128.22019591110686,-197.42362327813024,-45.19450318434592,11.000623468952211,9.458092214975677,-18.58486394937914,19.12563807175525
PHASE 3A,16,13600,13,-126.48475750895854,-197.42362327813024,-45.19450318434592,12.462941983660727,9.551390806357876,-18.56238628737196,18.077296875000282
PHASE 3A,17,14400,14,-122.99197341735407,-197.42362327813024,-45.19450318434592,12.645406584854914,8.869148605903744,-18.063316076013905,15.505143955775953
PHASE 3A,18,15200,15,-121.0021846254273,-197.42362327813024,-45.19450318434592,12.80325409636151,8.888199303663777,-17.836704753181394,21.624370535714547
PHASE 3A,19,16000,16,-122.2032732631016,-197.42362327813024,-45.19450318434592,12.49354001956372,8.746141829751707,-17.930369389051943,0.0
PHASE 3A,20,16800,16,-122.2032732631016,-197.42362327813024,-45.19450318434592,12.49354001956372,8.746141829751707,-17.93036938905194,13.803345145089525
PHASE 3A,21,17600,17,-123.82998846753384,-197.42362327813024,-45.19450318434592,12.248286047108149,8.668292592911996,-18.09332088844406,16.02894293866866
PHASE 3A,22,18400,18,-125.82248736008592,-197.42362327813024,-45.19450318434592,12.135780345815158,8.480871406526685,-18.30489238905328,15.192067278180943
PHASE 3A,23,19200,19,-126.9207047462508,-197.42362327813024,-45.19450318434592,11.750613846799832,8.445026201241344,-18.38954309928631,8.498258928571754
